ROSN;SBER;X5;YDEX;GMKN;GAZP
400.65;303.86;2454.5;4604.5;158.1;126.8
396.35;301.45;2432.5;4598;153.04;125.59
394.8;300.61;2446.5;4596;156.92;125.53
395.35;301.75;2449;4531;157.88;125.65
395.3;301.67;2445.5;4528.5;156.7;125.33
391.55;301.81;2406;4708;157.6;124.14
389.55;302.9;2393;4743.5;155.96;122.95
391.25;305.76;2392.5;4846.5;161.74;124.76
391.8;305.2;2430.5;4874.5;158.22;125.2
390.3;308.55;2433.5;4795.5;154.7;127.5
388.5;311;2496;4827.5;155.82;126.74
389.8;310.77;2481;4795.5;154;126.18
391.65;313.4;2450.5;4790.5;155.08;126.18
394.35;313.14;2439;4801;153.28;125.7
395.65;314;2412;4799.5;154.66;125.93
397.2;313.79;2427;4803.5;154.68;125.74
397.8;313.54;2437.5;4806;154.72;127.85
397.2;314.16;2442.5;4810.5;155.22;127.87
390.7;316.15;2420;4811.5;156.42;126.89
391.4;317.53;2417;4796;160.9;127.1
390.3;315.6;2410;4749.5;161.86;126.6
394.25;315.63;2429.5;4744.5;165.2;127.03
405.85;314.05;2412;4658;164.5;128.68
405.85;315;2414;;165.2;129.83
435.8;313.58;2410.5;;161.3;130.26
